Frame,Queue,Moving
0,0.128901,0
1,0.128901,0
2,0.128901,0
3,0.128901,0
4,0.128901,0
5,0.1216,0.153909
6,0.1216,0.153909
7,0.1216,0.153909
8,0.1216,0.153909
9,0.1216,0.153909
10,0.136661,0.174817
11,0.136661,0.174817
12,0.136661,0.174817
13,0.136661,0.174817
14,0.136661,0.174817
15,0.150394,0.160239
16,0.150394,0.160239
17,0.150394,0.160239
18,0.150394,0.160239
19,0.150394,0.160239
20,0.152199,0.159353
21,0.152199,0.159353
22,0.152199,0.159353
23,0.152199,0.159353
24,0.152199,0.159353
25,0.170911,0.13643
26,0.170911,0.13643
27,0.170911,0.13643
28,0.170911,0.13643
29,0.170911,0.13643
30,0.181244,0.123172
31,0.181244,0.123172
32,0.181244,0.123172
33,0.181244,0.123172
34,0.181244,0.123172
35,0.182946,0.123482
36,0.182946,0.123482
37,0.182946,0.123482
38,0.182946,0.123482
39,0.182946,0.123482
40,0.179548,0.122561
41,0.179548,0.122561
42,0.179548,0.122561
43,0.179548,0.122561
44,0.179548,0.122561
45,0.172968,0.133861
46,0.172968,0.133861
47,0.172968,0.133861
48,0.172968,0.133861
49,0.172968,0.133861
50,0.171467,0.0961199
51,0.171467,0.0961199
52,0.171467,0.0961199
53,0.171467,0.0961199
54,0.171467,0.0961199
55,0.176148,0.103865
56,0.176148,0.103865
57,0.176148,0.103865
58,0.176148,0.103865
59,0.176148,0.103865
60,0.181356,0.0864903
61,0.181356,0.0864903
62,0.181356,0.0864903
63,0.181356,0.0864903
64,0.181356,0.0864903
65,0.174901,0.0808093
66,0.174901,0.0808093
67,0.174901,0.0808093
68,0.174901,0.0808093
69,0.174901,0.0808093
70,0.167889,0.0868738
71,0.167889,0.0868738
72,0.167889,0.0868738
73,0.167889,0.0868738
74,0.167889,0.0868738
75,0.174144,0.0404135
76,0.174144,0.0404135
77,0.174144,0.0404135
78,0.174144,0.0404135
79,0.174144,0.0404135
80,0.184208,0.0614332
81,0.184208,0.0614332
82,0.184208,0.0614332
83,0.184208,0.0614332
84,0.184208,0.0614332
85,0.208468,0.106532
86,0.208468,0.106532
87,0.208468,0.106532
88,0.208468,0.106532
89,0.208468,0.106532
90,0.230598,0.143078
91,0.230598,0.143078
92,0.230598,0.143078
93,0.230598,0.143078
94,0.230598,0.143078
95,0.240234,0.20152
96,0.240234,0.20152
97,0.240234,0.20152
98,0.240234,0.20152
99,0.240234,0.20152
100,0.251252,0.162679
101,0.251252,0.162679
102,0.251252,0.162679
103,0.251252,0.162679
104,0.251252,0.162679
105,0.254334,0.146314
106,0.254334,0.146314
107,0.254334,0.146314
108,0.254334,0.146314
109,0.254334,0.146314
110,0.263053,0.171419
111,0.263053,0.171419
112,0.263053,0.171419
113,0.263053,0.171419
114,0.263053,0.171419
115,0.267724,0.198392
116,0.267724,0.198392
117,0.267724,0.198392
118,0.267724,0.198392
119,0.267724,0.198392
120,0.262444,0.229851
121,0.262444,0.229851
122,0.262444,0.229851
123,0.262444,0.229851
124,0.262444,0.229851
125,0.265677,0.18999
126,0.265677,0.18999
127,0.265677,0.18999
128,0.265677,0.18999
129,0.265677,0.18999
130,0.265142,0.197423
131,0.265142,0.197423
132,0.265142,0.197423
133,0.265142,0.197423
134,0.265142,0.197423
135,0.264121,0.169773
136,0.264121,0.169773
137,0.264121,0.169773
138,0.264121,0.169773
139,0.264121,0.169773
140,0.266072,0.157223
141,0.266072,0.157223
142,0.266072,0.157223
143,0.266072,0.157223
144,0.266072,0.157223
145,0.259755,0.191043
146,0.259755,0.191043
147,0.259755,0.191043
148,0.259755,0.191043
149,0.259755,0.191043
150,0.258476,0.141891
151,0.258476,0.141891
152,0.258476,0.141891
153,0.258476,0.141891
154,0.258476,0.141891
155,0.250216,0.132299
156,0.250216,0.132299
157,0.250216,0.132299
158,0.250216,0.132299
159,0.250216,0.132299
160,0.24502,0.124752
161,0.24502,0.124752
162,0.24502,0.124752
163,0.24502,0.124752
164,0.24502,0.124752
165,0.2406,0.109154
166,0.2406,0.109154
167,0.2406,0.109154
168,0.2406,0.109154
169,0.2406,0.109154
170,0.235093,0.142182
171,0.235093,0.142182
172,0.235093,0.142182
173,0.235093,0.142182
174,0.235093,0.142182
175,0.232771,0.100314
176,0.232771,0.100314
177,0.232771,0.100314
178,0.232771,0.100314
179,0.232771,0.100314
180,0.231531,0.08049
181,0.231531,0.08049
182,0.231531,0.08049
183,0.231531,0.08049
184,0.231531,0.08049
185,0.231984,0.073407
186,0.231984,0.073407
187,0.231984,0.073407
188,0.231984,0.073407
189,0.231984,0.073407
190,0.232682,0.0624392
191,0.232682,0.0624392
192,0.232682,0.0624392
193,0.232682,0.0624392
194,0.232682,0.0624392
195,0.231882,0.0874607
196,0.231882,0.0874607
197,0.231882,0.0874607
198,0.231882,0.0874607
199,0.231882,0.0874607
200,0.232618,0.0407133
201,0.232618,0.0407133
202,0.232618,0.0407133
203,0.232618,0.0407133
204,0.232618,0.0407133
205,0.233096,0.0365188
206,0.233096,0.0365188
207,0.233096,0.0365188
208,0.233096,0.0365188
209,0.233096,0.0365188
210,0.234718,0.0291301
211,0.234718,0.0291301
212,0.234718,0.0291301
213,0.234718,0.0291301
214,0.234718,0.0291301
215,0.233394,0.0300159
216,0.233394,0.0300159
217,0.233394,0.0300159
218,0.233394,0.0300159
219,0.233394,0.0300159
220,0.23229,0.072904
221,0.23229,0.072904
222,0.23229,0.072904
223,0.23229,0.072904
224,0.23229,0.072904
225,0.231414,0.0335665
226,0.231414,0.0335665
227,0.231414,0.0335665
228,0.231414,0.0335665
229,0.231414,0.0335665
230,0.231141,0.0312695
231,0.231141,0.0312695
232,0.231141,0.0312695
233,0.231141,0.0312695
234,0.231141,0.0312695
235,0.232119,0.0303698
236,0.232119,0.0303698
237,0.232119,0.0303698
238,0.232119,0.0303698
239,0.232119,0.0303698
240,0.226182,0.0336662
241,0.226182,0.0336662
242,0.226182,0.0336662
243,0.226182,0.0336662
244,0.226182,0.0336662
245,0.221203,0.0740553
246,0.221203,0.0740553
247,0.221203,0.0740553
248,0.221203,0.0740553
249,0.221203,0.0740553
250,0.224843,0.0422919
251,0.224843,0.0422919
252,0.224843,0.0422919
253,0.224843,0.0422919
254,0.224843,0.0422919
255,0.224683,0.0252646
256,0.224683,0.0252646
257,0.224683,0.0252646
258,0.224683,0.0252646
259,0.224683,0.0252646
260,0.223903,0.0260644
261,0.223903,0.0260644
262,0.223903,0.0260644
263,0.223903,0.0260644
264,0.223903,0.0260644
265,0.222706,0.0232277
266,0.222706,0.0232277
267,0.222706,0.0232277
268,0.222706,0.0232277
269,0.222706,0.0232277
270,0.220103,0.0690458
271,0.220103,0.0690458
272,0.220103,0.0690458
273,0.220103,0.0690458
274,0.220103,0.0690458
275,0.223219,0.035537
276,0.223219,0.035537
277,0.223219,0.035537
278,0.223219,0.035537
279,0.223219,0.035537
280,0.232817,0.0478767
281,0.232817,0.0478767
282,0.232817,0.0478767
283,0.232817,0.0478767
284,0.232817,0.0478767
285,0.24202,0.0546662
286,0.24202,0.0546662
287,0.24202,0.0546662
288,0.24202,0.0546662
289,0.24202,0.0546662
290,0.239458,0.0679431
291,0.239458,0.0679431
292,0.239458,0.0679431
293,0.239458,0.0679431
294,0.239458,0.0679431
295,0.226624,0.101221
296,0.226624,0.101221
297,0.226624,0.101221
298,0.226624,0.101221
299,0.226624,0.101221
300,0.21926,0.0507957
301,0.21926,0.0507957
302,0.21926,0.0507957
303,0.21926,0.0507957
304,0.21926,0.0507957
305,0.217598,0.0333993
306,0.217598,0.0333993
307,0.217598,0.0333993
308,0.217598,0.0333993
309,0.217598,0.0333993
310,0.218679,0.030357
311,0.218679,0.030357
312,0.218679,0.030357
313,0.218679,0.030357
314,0.218679,0.030357
315,0.219688,0.0306643
316,0.219688,0.0306643
317,0.219688,0.0306643
318,0.219688,0.0306643
319,0.219688,0.0306643
320,0.217547,0.0780094
321,0.217547,0.0780094
322,0.217547,0.0780094
323,0.217547,0.0780094
324,0.217547,0.0780094
325,0.219053,0.0362435
326,0.219053,0.0362435
327,0.219053,0.0362435
328,0.219053,0.0362435
329,0.219053,0.0362435
330,0.219406,0.0318439
331,0.219406,0.0318439
332,0.219406,0.0318439
333,0.219406,0.0318439
334,0.219406,0.0318439
335,0.219236,0.0196083
336,0.219236,0.0196083
337,0.219236,0.0196083
338,0.219236,0.0196083
339,0.219236,0.0196083
340,0.223014,0.0233358
341,0.223014,0.0233358
342,0.223014,0.0233358
343,0.223014,0.0233358
344,0.223014,0.0233358
345,0.229715,0.0862386
346,0.229715,0.0862386
347,0.229715,0.0862386
348,0.229715,0.0862386
349,0.229715,0.0862386
350,0.232941,0.0522634
351,0.232941,0.0522634
352,0.232941,0.0522634
353,0.232941,0.0522634
354,0.232941,0.0522634
355,0.232628,0.0537236
356,0.232628,0.0537236
357,0.232628,0.0537236
358,0.232628,0.0537236
359,0.232628,0.0537236
360,0.233815,0.0419017
361,0.233815,0.0419017
362,0.233815,0.0419017
363,0.233815,0.0419017
364,0.233815,0.0419017
365,0.233373,0.0384898
366,0.233373,0.0384898
367,0.233373,0.0384898
368,0.233373,0.0384898
369,0.233373,0.0384898
370,0.232334,0.0837497
371,0.232334,0.0837497
372,0.232334,0.0837497
373,0.232334,0.0837497
374,0.232334,0.0837497
375,0.232156,0.0397097
376,0.232156,0.0397097
377,0.232156,0.0397097
378,0.232156,0.0397097
379,0.232156,0.0397097
380,0.231114,0.0351369
381,0.231114,0.0351369
382,0.231114,0.0351369
383,0.231114,0.0351369
384,0.231114,0.0351369
385,0.236149,0.0433627
386,0.236149,0.0433627
387,0.236149,0.0433627
388,0.236149,0.0433627
389,0.236149,0.0433627
390,0.242509,0.0593731
391,0.242509,0.0593731
392,0.242509,0.0593731
393,0.242509,0.0593731
394,0.242509,0.0593731
395,0.24358,0.110111
396,0.24358,0.110111
397,0.24358,0.110111
398,0.24358,0.110111
399,0.24358,0.110111
400,0.248264,0.0752765
401,0.248264,0.0752765
402,0.248264,0.0752765
403,0.248264,0.0752765
404,0.248264,0.0752765
405,0.256511,0.0768937
406,0.256511,0.0768937
407,0.256511,0.0768937
408,0.256511,0.0768937
409,0.256511,0.0768937
410,0.27373,0.094884
411,0.27373,0.094884
412,0.27373,0.094884
413,0.27373,0.094884
414,0.27373,0.094884
415,0.301116,0.118615
416,0.301116,0.118615
417,0.301116,0.118615
418,0.301116,0.118615
419,0.301116,0.118615
420,0.316242,0.192822
421,0.316242,0.192822
422,0.316242,0.192822
423,0.316242,0.192822
424,0.316242,0.192822
425,0.340627,0.153225
426,0.340627,0.153225
427,0.340627,0.153225
428,0.340627,0.153225
429,0.340627,0.153225
430,0.364503,0.16307
431,0.364503,0.16307
432,0.364503,0.16307
433,0.364503,0.16307
434,0.364503,0.16307
435,0.381001,0.16779
436,0.381001,0.16779
437,0.381001,0.16779
438,0.381001,0.16779
439,0.381001,0.16779
440,0.385734,0.175288
441,0.385734,0.175288
442,0.385734,0.175288
443,0.385734,0.175288
444,0.385734,0.175288
445,0.387365,0.228769
446,0.387365,0.228769
447,0.387365,0.228769
448,0.387365,0.228769
449,0.387365,0.228769
450,0.399721,0.183525
451,0.399721,0.183525
452,0.399721,0.183525
453,0.399721,0.183525
454,0.399721,0.183525
455,0.411097,0.178731
456,0.411097,0.178731
457,0.411097,0.178731
458,0.411097,0.178731
459,0.411097,0.178731
460,0.420366,0.179483
461,0.420366,0.179483
462,0.420366,0.179483
463,0.420366,0.179483
464,0.420366,0.179483
465,0.42715,0.16912
466,0.42715,0.16912
467,0.42715,0.16912
468,0.42715,0.16912
469,0.42715,0.16912
470,0.431757,0.205179
471,0.431757,0.205179
472,0.431757,0.205179
473,0.431757,0.205179
474,0.431757,0.205179
475,0.433781,0.150884
476,0.433781,0.150884
477,0.433781,0.150884
478,0.433781,0.150884
479,0.433781,0.150884
480,0.435288,0.13611
481,0.435288,0.13611
482,0.435288,0.13611
483,0.435288,0.13611
484,0.435288,0.13611
485,0.43512,0.121283
486,0.43512,0.121283
487,0.43512,0.121283
488,0.43512,0.121283
489,0.43512,0.121283
490,0.434734,0.113621
491,0.434734,0.113621
492,0.434734,0.113621
493,0.434734,0.113621
494,0.434734,0.113621
495,0.432365,0.147457
496,0.432365,0.147457
497,0.432365,0.147457
498,0.432365,0.147457
499,0.432365,0.147457
500,0.440892,0.118093
501,0.440892,0.118093
502,0.440892,0.118093
503,0.440892,0.118093
504,0.440892,0.118093
505,0.454615,0.135503
506,0.454615,0.135503
507,0.454615,0.135503
508,0.454615,0.135503
509,0.454615,0.135503
510,0.464581,0.127923
511,0.464581,0.127923
512,0.464581,0.127923
513,0.464581,0.127923
514,0.464581,0.127923
515,0.476296,0.150779
516,0.476296,0.150779
517,0.476296,0.150779
518,0.476296,0.150779
519,0.476296,0.150779
520,0.519223,0.254784
521,0.519223,0.254784
522,0.519223,0.254784
523,0.519223,0.254784
524,0.519223,0.254784
525,0.542955,0.181446
526,0.542955,0.181446
527,0.542955,0.181446
528,0.542955,0.181446
529,0.542955,0.181446
530,0.553015,0.17737
531,0.553015,0.17737
532,0.553015,0.17737
533,0.553015,0.17737
534,0.553015,0.17737
535,0.555294,0.178292
536,0.555294,0.178292
537,0.555294,0.178292
538,0.555294,0.178292
539,0.555294,0.178292
540,0.559335,0.166036
541,0.559335,0.166036
542,0.559335,0.166036
543,0.559335,0.166036
544,0.559335,0.166036
545,0.565836,0.238676
546,0.565836,0.238676
547,0.565836,0.238676
548,0.565836,0.238676
549,0.565836,0.238676
550,0.558162,0.176192
551,0.558162,0.176192
552,0.558162,0.176192
553,0.558162,0.176192
554,0.558162,0.176192
555,0.552362,0.144195
556,0.552362,0.144195
557,0.552362,0.144195
558,0.552362,0.144195
559,0.552362,0.144195
560,0.5479,0.143013
561,0.5479,0.143013
562,0.5479,0.143013
563,0.5479,0.143013
564,0.5479,0.143013
565,0.544766,0.176158
566,0.544766,0.176158
567,0.544766,0.176158
568,0.544766,0.176158
569,0.544766,0.176158
570,0.544697,0.216841
571,0.544697,0.216841
572,0.544697,0.216841
573,0.544697,0.216841
574,0.544697,0.216841
575,0.553956,0.146306
576,0.553956,0.146306
577,0.553956,0.146306
578,0.553956,0.146306
579,0.553956,0.146306
580,0.562566,0.106444
581,0.562566,0.106444
582,0.562566,0.106444
583,0.562566,0.106444
584,0.562566,0.106444
585,0.569809,0.108441
586,0.569809,0.108441
587,0.569809,0.108441
588,0.569809,0.108441
589,0.569809,0.108441
590,0.577587,0.12588
591,0.577587,0.12588
592,0.577587,0.12588
593,0.577587,0.12588
594,0.577587,0.12588
595,0.607916,0.234578
596,0.607916,0.234578
597,0.607916,0.234578
598,0.607916,0.234578
599,0.607916,0.234578
600,0.630388,0.166672
601,0.630388,0.166672
602,0.630388,0.166672
603,0.630388,0.166672
604,0.630388,0.166672
605,0.643995,0.144796
606,0.643995,0.144796
607,0.643995,0.144796
608,0.643995,0.144796
609,0.643995,0.144796
610,0.671634,0.162583
611,0.671634,0.162583
612,0.671634,0.162583
613,0.671634,0.162583
614,0.671634,0.162583
615,0.680949,0.142605
616,0.680949,0.142605
617,0.680949,0.142605
618,0.680949,0.142605
619,0.680949,0.142605
620,0.701182,0.232623
621,0.701182,0.232623
622,0.701182,0.232623
623,0.701182,0.232623
624,0.701182,0.232623
625,0.705096,0.152573
626,0.705096,0.152573
627,0.705096,0.152573
628,0.705096,0.152573
629,0.705096,0.152573
630,0.714217,0.141483
631,0.714217,0.141483
632,0.714217,0.141483
633,0.714217,0.141483
634,0.714217,0.141483
635,0.720344,0.135324
636,0.720344,0.135324
637,0.720344,0.135324
638,0.720344,0.135324
639,0.720344,0.135324
640,0.721743,0.124462
641,0.721743,0.124462
642,0.721743,0.124462
643,0.721743,0.124462
644,0.721743,0.124462
645,0.72847,0.192287
646,0.72847,0.192287
647,0.72847,0.192287
648,0.72847,0.192287
649,0.72847,0.192287
650,0.730853,0.113685
651,0.730853,0.113685
652,0.730853,0.113685
653,0.730853,0.113685
