Frame,Queue,Moving
1,0.137391,0
2,0.134088,0.109702
3,0.133327,0.0749518
4,0.130022,0.122605
5,0.127747,0.115576
6,0.127559,0.0692662
7,0.128277,0.118326
8,0.134228,0.124779
9,0.135644,0.0759545
10,0.138569,0.123615
11,0.140419,0.119459
12,0.14294,0.0829501
13,0.146973,0.113798
14,0.150796,0.114143
15,0.152187,0.07739
16,0.153914,0.116037
17,0.15555,0.107601
18,0.155621,0.0712046
19,0.156889,0.0999017
20,0.154003,0.169263
21,0.15548,0.0697156
22,0.158574,0.0973049
23,0.162676,0.102898
24,0.165104,0.0707736
25,0.169807,0.104615
26,0.174546,0.1088
27,0.176354,0.0728328
28,0.179836,0.110138
29,0.183264,0.112657
30,0.184467,0.0750156
31,0.184352,0.112257
32,0.185159,0.106936
33,0.185675,0.0735684
34,0.186536,0.109817
35,0.185981,0.106235
36,0.186031,0.0757929
37,0.185023,0.104137
38,0.183967,0.0993438
39,0.184289,0.0717917
40,0.182594,0.0995282
41,0.182502,0.0962618
42,0.182301,0.07055
43,0.180918,0.0919593
44,0.180887,0.0898363
45,0.176906,0.136188
46,0.17628,0.0860315
47,0.176258,0.0875465
48,0.17596,0.0616935
49,0.174958,0.0807601
50,0.174666,0.0757861
51,0.174514,0.0548189
52,0.175396,0.0817195
53,0.176154,0.0835837
54,0.176648,0.0547174
55,0.177073,0.0797008
56,0.177958,0.078433
57,0.178519,0.0446024
58,0.178401,0.0739563
59,0.180409,0.0685615
60,0.181701,0.0508886
61,0.181132,0.0730092
62,0.179603,0.0698831
63,0.17827,0.0388967
64,0.177438,0.0625472
65,0.176731,0.0472747
66,0.176601,0.0306396
67,0.176193,0.0379275
68,0.175868,0.0408633
69,0.17608,0.0198446
70,0.170899,0.11277
71,0.171656,0.0403085
72,0.17344,0.0222599
73,0.174355,0.0317662
74,0.175926,0.0337669
75,0.175984,0.0245306
76,0.178188,0.0316745
77,0.179266,0.0390466
78,0.180467,0.0290775
79,0.18244,0.0742893
80,0.186203,0.0803749
81,0.187815,0.0613499
82,0.191003,0.0738704
83,0.196549,0.0873826
84,0.199766,0.0649091
85,0.206086,0.10765
86,0.213047,0.113123
87,0.215408,0.0739591
88,0.221625,0.112409
89,0.22642,0.12293
90,0.227996,0.0863564
91,0.233744,0.133777
92,0.236575,0.133558
93,0.23765,0.0924198
94,0.240058,0.13942
95,0.240494,0.24414
96,0.242316,0.103089
97,0.245472,0.147984
98,0.247491,0.138537
99,0.249343,0.0967023
100,0.250426,0.131342
101,0.252276,0.130968
102,0.254002,0.0940559
103,0.256091,0.1316
104,0.255926,0.13465
105,0.256868,0.0901547
106,0.25595,0.135227
107,0.25849,0.148829
108,0.259586,0.103358
109,0.261163,0.149645
110,0.263133,0.146296
111,0.265667,0.0954248
112,0.265838,0.147076
113,0.266821,0.150307
114,0.266978,0.108659
115,0.268781,0.157766
116,0.270611,0.162673
117,0.270444,0.108213
118,0.270771,0.164233
119,0.270506,0.161807
120,0.264848,0.20396
121,0.265376,0.157967
122,0.26598,0.162252
123,0.266239,0.115639
124,0.267283,0.166388
125,0.268259,0.162484
126,0.268866,0.109682
127,0.268195,0.162332
128,0.268215,0.163802
129,0.268458,0.111108
130,0.267505,0.160975
131,0.268074,0.168058
132,0.267192,0.107796
133,0.267152,0.155058
134,0.266012,0.153031
135,0.266714,0.101523
136,0.266701,0.153645
137,0.267395,0.141737
138,0.267535,0.0934629
139,0.267946,0.13736
140,0.267418,0.140445
141,0.268513,0.0876233
142,0.26808,0.137206
143,0.268147,0.122636
144,0.267938,0.0812246
145,0.261803,0.208721
146,0.26206,0.110689
147,0.262722,0.0752167
148,0.262191,0.114316
149,0.262758,0.110744
150,0.262094,0.0723668
151,0.260813,0.10667
152,0.258825,0.0999842
153,0.258196,0.0666548
154,0.255825,0.105076
155,0.253635,0.100305
156,0.252765,0.06644
157,0.249981,0.10771
158,0.248493,0.098021
159,0.247855,0.0538232
160,0.247908,0.0815438
161,0.247548,0.0863808
162,0.247061,0.0518219
163,0.246356,0.0885441
164,0.244346,0.0806295
165,0.243668,0.058524
166,0.242914,0.0730636
167,0.242889,0.0749668
168,0.242708,0.0522991
169,0.242659,0.0736669
170,0.237973,0.170983
171,0.237554,0.0529079
172,0.236601,0.0770788
173,0.236207,0.072146
174,0.236077,0.0420326
175,0.235433,0.0659493
176,0.235313,0.0650111
177,0.235267,0.0429358
178,0.234309,0.0635289
179,0.233641,0.0591158
180,0.233637,0.0363622
181,0.233816,0.0565924
182,0.233477,0.0543808
183,0.233871,0.034412
184,0.234052,0.0558723
185,0.234086,0.0526639
186,0.234246,0.0319617
187,0.233905,0.0496836
188,0.233688,0.0437683
189,0.234048,0.022546
190,0.234592,0.0359459
191,0.234852,0.0372924
192,0.235113,0.0211928
193,0.234069,0.0287733
194,0.233838,0.0263548
195,0.234234,0.127908
196,0.234715,0.0332389
197,0.235652,0.0279266
198,0.235369,0.0230779
199,0.234886,0.0265421
200,0.235186,0.0268215
201,0.23529,0.0184493
202,0.236,0.0262723
203,0.236499,0.0192056
204,0.236708,0.0174125
205,0.236686,0.0197184
206,0.235761,0.0253504
207,0.235976,0.0159858
208,0.235976,0.0220278
209,0.235571,0.017584
210,0.235866,0.0130814
211,0.237378,0.020246
212,0.237312,0.0180359
213,0.236886,0.018317
214,0.236291,0.019892
215,0.236429,0.0203951
216,0.236117,0.0151654
217,0.235578,0.0197019
218,0.235691,0.0134813
219,0.236014,0.0106824
220,0.235355,0.12261
221,0.23539,0.0236075
222,0.235347,0.0196616
223,0.234555,0.0255446
224,0.234287,0.0224933
225,0.23441,0.0119675
226,0.234368,0.0140771
227,0.234676,0.0163949
228,0.23464,0.0136547
229,0.23413,0.0186487
230,0.233991,0.0199401
231,0.234011,0.0165656
232,0.233978,0.0204415
233,0.234998,0.0191904
234,0.235063,0.0180009
235,0.235894,0.026394
236,0.234925,0.0244893
237,0.23432,0.0205191
238,0.232997,0.0278058
239,0.231288,0.0281204
240,0.230283,0.0208286
241,0.228958,0.027498
242,0.228659,0.0308388
243,0.228201,0.0204303
244,0.228622,0.0246595
245,0.223204,0.132679
246,0.223792,0.0302387
247,0.224918,0.0354694
248,0.226012,0.0341053
249,0.226277,0.0226788
250,0.226981,0.020701
251,0.227631,0.0428199
252,0.227324,0.013757
253,0.227283,0.0188298
254,0.227104,0.0136723
255,0.226652,0.0153229
256,0.227276,0.019322
257,0.22696,0.0193457
258,0.226896,0.0146294
259,0.226629,0.0142001
260,0.226218,0.0162849
261,0.226406,0.0133377
262,0.22599,0.0150698
263,0.226043,0.0121731
264,0.225571,0.0123423
265,0.225458,0.0168655
266,0.225102,0.0163634
267,0.225317,0.0109985
268,0.225406,0.012621
269,0.225146,0.0125059
270,0.222674,0.113656
271,0.222648,0.0192987
272,0.222977,0.0173408
273,0.222831,0.0159432
274,0.222586,0.0163771
275,0.223459,0.0236108
276,0.224846,0.0214783
277,0.226942,0.0313902
278,0.228057,0.0354036
279,0.228576,0.0257686
280,0.230206,0.0382718
281,0.23308,0.0419024
282,0.234193,0.0331694
283,0.237082,0.0437903
284,0.239751,0.0461067
285,0.240677,0.0359601
286,0.241173,0.0529104
287,0.24112,0.0533056
288,0.239892,0.0352676
289,0.238949,0.047978
290,0.237018,0.042501
291,0.236358,0.0247863
292,0.235432,0.0381628
293,0.233885,0.0332995
294,0.233088,0.0179575
295,0.226017,0.136316
296,0.224322,0.0394148
297,0.223813,0.0262167
298,0.221611,0.0296496
299,0.219794,0.0257311
300,0.219577,0.0178044
301,0.218251,0.0190318
302,0.217824,0.0172611
303,0.217491,0.0128108
304,0.21716,0.0195187
305,0.217651,0.0154839
306,0.217977,0.0132939
307,0.218207,0.0162622
308,0.219447,0.0170186
309,0.218876,0.0165387
310,0.218714,0.0199304
311,0.219776,0.0240607
312,0.219905,0.0165115
313,0.21948,0.0258829
314,0.220626,0.0271749
315,0.221206,0.0146599
316,0.221597,0.0221134
317,0.221375,0.0157872
318,0.220959,0.0168435
319,0.220049,0.0201076
320,0.219188,0.130694
321,0.21982,0.0242283
322,0.220141,0.0257487
323,0.220746,0.0267306
324,0.220691,0.0184789
325,0.220973,0.0222075
326,0.221453,0.0188342
327,0.220968,0.0190503
328,0.221116,0.0206891
329,0.221379,0.0169573
330,0.221523,0.0106261
331,0.221789,0.0267391
332,0.221977,0.016364
333,0.221883,0.00816657
334,0.221591,0.0112274
335,0.22139,0.014255
336,0.22149,0.00736697
337,0.221185,0.0130639
338,0.221123,0.0144685
339,0.221622,0.0107293
340,0.22314,0.0176187
341,0.225765,0.0221848
342,0.22721,0.0163612
343,0.229148,0.0250962
344,0.230504,0.0281172
345,0.230025,0.131854
346,0.232621,0.0402648
347,0.234606,0.0466851
348,0.235683,0.0297488
349,0.235568,0.037755
350,0.235577,0.0384333
351,0.235494,0.0320887
352,0.23488,0.0369142
353,0.23466,0.0382298
354,0.234577,0.0327719
355,0.234682,0.0368916
356,0.235036,0.0474968
357,0.235422,0.0282151
358,0.235588,0.0357697
359,0.235647,0.0327613
360,0.23586,0.026459
361,0.236229,0.0314574
362,0.236248,0.0298204
363,0.236379,0.0260624
364,0.236442,0.0326231
365,0.236272,0.0315587
366,0.235953,0.0252967
367,0.23587,0.0295358
368,0.235609,0.0294467
369,0.235469,0.0213996
370,0.235176,0.132769
371,0.235231,0.0395428
372,0.235578,0.0270341
373,0.23548,0.0340385
374,0.2354,0.0310338
375,0.235265,0.0245084
376,0.235022,0.0293094
377,0.234883,0.0283675
378,0.234596,0.0245537
379,0.234278,0.0260007
380,0.233812,0.025991
381,0.233925,0.0241514
382,0.235429,0.0335255
383,0.236207,0.0406593
384,0.237289,0.0344466
385,0.237941,0.0488628
386,0.239394,0.0566778
