Frame,Queue,Moving
0,0.12152,0.00000
1,0.09251,0.00000
2,0.09251,0.00000
3,0.08516,0.00000
4,0.08516,0.00000
5,0.10580,0.00000
6,0.08516,0.00000
7,0.12204,0.00000
8,0.10698,0.00000
9,0.10580,0.00000
10,0.23173,0.17314
11,0.19299,0.15764
12,0.19299,0.15764
13,0.23173,0.15764
14,0.19299,0.15764
15,0.23173,0.17314
16,0.19299,0.15764
17,0.19299,0.15764
18,0.19299,0.15764
19,0.15426,0.14215
20,0.26336,0.18195
21,0.26336,0.18195
22,0.26336,0.18195
23,0.26336,0.18195
24,0.26336,0.18195
25,0.26336,0.18195
26,0.26336,0.18195
27,0.26336,0.18195
28,0.26336,0.18195
29,0.26336,0.18195
30,0.33518,0.22991
31,0.33518,0.22991
32,0.33518,0.22991
33,0.33518,0.22991
34,0.33518,0.22991
35,0.28304,0.20765
36,0.28304,0.20765
37,0.28304,0.20765
38,0.28304,0.20765
39,0.28304,0.20765
40,0.28672,0.18208
41,0.27016,0.21127
42,0.27016,0.21127
43,0.27016,0.21127
44,0.32125,0.24376
45,0.32125,0.24376
46,0.32125,0.24376
47,0.32125,0.24376
48,0.32125,0.24376
49,0.32125,0.24376
50,0.31895,0.19228
51,0.31895,0.19228
52,0.31895,0.19228
53,0.31895,0.19228
54,0.31895,0.19228
55,0.31895,0.19228
56,0.31895,0.19228
57,0.31895,0.19228
58,0.31895,0.19228
59,0.31895,0.19228
60,0.23528,0.10490
61,0.26953,0.14168
62,0.23793,0.14168
63,0.29570,0.14698
64,0.26145,0.12802
65,0.29570,0.14698
66,0.26145,0.15114
67,0.26145,0.15114
68,0.31922,0.15114
69,0.31922,0.15114
70,0.29431,0.09696
71,0.29431,0.09696
72,0.25671,0.09696
73,0.25671,0.09696
74,0.31573,0.11412
75,0.31573,0.11412
76,0.31573,0.11412
77,0.31573,0.11412
78,0.31573,0.11412
79,0.31573,0.11412
80,0.24148,0.03909
81,0.24148,0.04007
82,0.30044,0.04392
83,0.32165,0.04443
84,0.32165,0.04443
85,0.32165,0.04443
86,0.32165,0.04443
87,0.32165,0.04443
88,0.32165,0.04443
89,0.32165,0.04443
90,0.34326,0.10509
91,0.30558,0.10319
92,0.30558,0.10319
93,0.36449,0.10319
94,0.36449,0.10533
95,0.36449,0.10533
96,0.36449,0.10509
97,0.36449,0.10533
98,0.36449,0.10533
99,0.36449,0.10533
100,0.37924,0.20348
101,0.37924,0.20979
102,0.37924,0.20979
103,0.37924,0.20979
104,0.37924,0.20979
105,0.37924,0.20979
106,0.37924,0.20979
107,0.37924,0.20979
108,0.37924,0.20979
109,0.37924,0.20979
110,0.38520,0.17704
111,0.38520,0.17704
112,0.38520,0.17704
113,0.38520,0.17704
114,0.38520,0.17704
115,0.38520,0.17704
116,0.38520,0.17704
117,0.38520,0.17704
118,0.38520,0.17704
119,0.38520,0.17704
120,0.38425,0.19630
121,0.38425,0.19630
122,0.38425,0.19061
123,0.32553,0.19061
124,0.32553,0.19061
125,0.32553,0.19061
126,0.32553,0.19061
127,0.32553,0.19061
128,0.32553,0.19061
129,0.32553,0.19061
130,0.37266,0.19041
131,0.31301,0.16992
132,0.31301,0.16470
133,0.25335,0.16470
134,0.17999,0.16557
135,0.20447,0.16557
136,0.20447,0.16557
137,0.20447,0.16557
138,0.20447,0.16557
139,0.20447,0.16557
140,0.41972,0.18682
141,0.37952,0.18986
142,0.41972,0.18986
143,0.41972,0.18986
144,0.41972,0.18986
145,0.41972,0.18986
146,0.41972,0.18986
147,0.35892,0.15657
148,0.41972,0.18986
149,0.41972,0.18986
150,0.43346,0.21263
151,0.43346,0.21263
152,0.43346,0.21263
153,0.37126,0.21263
154,0.43346,0.21263
155,0.43346,0.21263
156,0.43346,0.21263
157,0.43346,0.21263
158,0.43346,0.21263
159,0.43346,0.21263
160,0.41413,0.16483
161,0.37066,0.17546
162,0.35476,0.16483
163,0.35476,0.17546
164,0.35476,0.16483
165,0.35476,0.16483
166,0.35476,0.17546
167,0.41413,0.19349
168,0.41413,0.19349
169,0.41413,0.19349
170,0.40117,0.16258
171,0.34252,0.17297
172,0.40117,0.18868
173,0.40117,0.18868
174,0.40117,0.18868
175,0.40117,0.18868
176,0.35830,0.17297
177,0.34252,0.18868
178,0.40117,0.17297
179,0.36274,0.18868
180,0.35896,0.13224
181,0.35896,0.12488
182,0.35896,0.12488
183,0.35896,0.12488
184,0.35896,0.13224
185,0.33959,0.14423
186,0.39970,0.14423
187,0.39970,0.14423
188,0.39970,0.12488
189,0.39970,0.14423
190,0.40753,0.11582
191,0.40753,0.11582
192,0.40753,0.10275
193,0.34494,0.10275
194,0.36887,0.10275
195,0.36887,0.10424
196,0.34494,0.10275
197,0.34494,0.10424
198,0.36887,0.10275
199,0.34494,0.10424
200,0.35157,0.09692
201,0.35157,0.09326
202,0.35157,0.09326
203,0.41751,0.10603
204,0.41751,0.10603
205,0.41751,0.10603
206,0.41751,0.09326
207,0.37923,0.09692
208,0.41751,0.10603
209,0.41751,0.10603
210,0.31958,0.05501
211,0.31958,0.05955
212,0.38941,0.06826
213,0.35777,0.06826
214,0.35777,0.06062
215,0.35777,0.06062
216,0.35777,0.07388
217,0.42681,0.07388
218,0.42681,0.07388
219,0.42681,0.07388
220,0.36607,0.07838
221,0.36607,0.09092
222,0.34152,0.07838
223,0.40509,0.09358
224,0.40509,0.09358
225,0.40509,0.09358
226,0.40509,0.09358
227,0.40509,0.09358
228,0.36607,0.09358
229,0.40509,0.09358
230,0.33444,0.05713
231,0.33444,0.04889
232,0.33444,0.04889
233,0.33444,0.05713
234,0.33444,0.04889
235,0.33444,0.04889
236,0.33444,0.04889
237,0.35628,0.04889
238,0.35628,0.05713
239,0.35628,0.05713
240,0.34061,0.05143
241,0.34061,0.05143
242,0.34061,0.06015
243,0.34061,0.06015
244,0.34061,0.06015
245,0.37945,0.06083
246,0.37945,0.06083
247,0.37945,0.06083
248,0.37945,0.06083
249,0.37945,0.06083
250,0.28297,0.05941
